imagen_base,par_ssim,ssim,par_msssim,ms_ssim,par_lpips,lpips_sim
C:\workspace\data\test\impressionism\ipolit-strambu_thinking-1917.jpg,C:\workspace\data\test\impressionism\stefan-dimitrescu_you-wish-1907.jpg,0.5068,C:\workspace\data\test\impressionism\ipolit-strambu_vase-with-roses-and-chrysanthemums-1911.jpg,0.403,C:\workspace\data\test\impressionism\stefan-dimitrescu_you-wish-1907.jpg,0.4633
C:\workspace\data\test\impressionism\edouard-manet_the-conservatory-1879.jpg,C:\workspace\data\test\impressionism\ipolit-strambu_thinking-1917.jpg,0.1965,C:\workspace\data\test\impressionism\edward-hopper_rocky-shore-and-sea.jpg,0.1812,C:\workspace\data\test\impressionism\isaac-israels_two-donkeys-1901.jpg,0.4631
C:\workspace\data\test\impressionism\konstantin-korovin_twilight.jpg,C:\workspace\data\test\impressionism\john-atkinson-grimshaw_gourock-near-the-clyde-shipping-docks.jpg,0.1397,C:\workspace\data\test\impressionism\marianne-stokes_segesvak-schafsburg-1909.jpg,0.1852,C:\workspace\data\test\impressionism\john-singer-sargent_the-hermit-1908.jpg,0.4481
C:\workspace\data\test\impressionism\vilhelm-hammershoi_s-ndermarken-park-in-winter-1896.jpg,C:\workspace\data\test\impressionism\constantin-artachino_eros.jpg,0.3604,C:\workspace\data\test\impressionism\arkhip-kuindzhi_sea-coast-crimea.jpg,0.3566,C:\workspace\data\test\impressionism\isaac-israels_two-donkeys-1901.jpg,0.4391
C:\workspace\data\test\impressionism\henri-edmond-cross_shepherd-and-sheep.jpg,C:\workspace\data\test\impressionism\arkhip-kuindzhi_autumn-fog.jpg,0.3296,C:\workspace\data\test\impressionism\ferdinand-du-puigaudeau_the-moonlit-river-la-riviere-au-clair-de-lune.jpg,0.2791,C:\workspace\data\test\impressionism\gregoire-boonzaier_windswept-trees-1945.jpg,0.44
C:\workspace\data\test\impressionism\georg-pauli_winter-evening-at-s-der-stockholm-1889.jpg,C:\workspace\data\test\impressionism\arkhip-kuindzhi_autumn-fog.jpg,0.4901,C:\workspace\data\test\impressionism\john-atkinson-grimshaw_gourock-near-the-clyde-shipping-docks.jpg,0.3159,C:\workspace\data\test\impressionism\konstantinos-maleas_three-egyptian-women-walk-outdoors-1911.jpg,0.4457
C:\workspace\data\test\impressionism\carl-larsson_view-of-montcourt-1884.jpg,C:\workspace\data\test\impressionism\egon-schiele_meadow-with-village-in-background-1907.jpg,0.2892,C:\workspace\data\test\impressionism\egon-schiele_meadow-with-village-in-background-1907.jpg,0.2582,C:\workspace\data\test\impressionism\theodor-philipsen_long-shadows-cattle-on-the-island-of-saltholm-1890.jpg,0.4222
C:\workspace\data\test\impressionism\grant-wood_grandmother-s-house-inhabit-a-forest-1926.jpg,C:\workspace\data\test\impressionism\arkhip-kuindzhi_autumn-fog.jpg,0.2033,C:\workspace\data\test\impressionism\nicolae-grigorescu_the-spring-detail.jpg,0.2052,C:\workspace\data\test\impressionism\julius-leblanc-stewart_picnic-under-the-trees.jpg,0.4307
C:\workspace\data\test\impressionism\octav-angheluta_striped-skirt.jpg,C:\workspace\data\test\impressionism\arkhip-kuindzhi_autumn-fog.jpg,0.3347,C:\workspace\data\test\impressionism\cornelis-vreedenburgh_harbour-at-amsterdam.jpg,0.2165,C:\workspace\data\test\impressionism\henri-de-toulouse-lautrec_tethered-horse.jpg,0.4243
C:\workspace\data\test\impressionism\ilya-mashkov_after-the-storm-1922.jpg,C:\workspace\data\test\impressionism\arkhip-kuindzhi_autumn-fog.jpg,0.1806,C:\workspace\data\test\impressionism\konstantin-korovin_portrait-of-an-officer-1916.jpg,0.2016,C:\workspace\data\test\impressionism\thalia-flora-karavia_repos-aux-champs.jpg,0.4712
