Image1,Image2,Method,Layer,Similarity
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv1_1,0.968322
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv1_2,0.992270
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv2_1,0.973263
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv2_2,0.982957
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv3_1,0.979678
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv3_2,0.972930
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv3_3,0.978479
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv3_4,0.989732
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv4_1,0.980588
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv4_2,0.973760
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv4_3,0.978808
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv4_4,0.985146
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv5_1,0.950483
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv5_2,0.943870
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv5_3,0.949894
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,gram,conv5_4,0.978971
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv1_1,0.696536
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv1_2,0.612289
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv2_1,0.436761
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv2_2,0.281098
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv3_1,0.520104
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv3_2,0.465876
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv3_3,0.452154
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv3_4,0.569482
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv4_1,0.673151
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv4_2,0.681969
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv4_3,0.716056
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv4_4,0.786661
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv5_1,0.760360
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv5_2,0.796613
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv5_3,0.822970
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,conv,conv5_4,0.896019
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,fc,fc1,0.818231
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,fc,fc2,0.860530
antoine-blanchard_boulevard-de-la-madeleine-2_heatmap,antoine-blanchard_boulevard-de-la-madeleine-9_heatmap,fc,fc3,0.580230
