Image1,Image2,Method,Layer,Similarity
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv1_1,0.813287
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv1_2,0.965699
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv2_1,0.954259
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv2_2,0.966891
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv3_1,0.955096
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv3_2,0.944495
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv3_3,0.945562
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv3_4,0.977080
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv4_1,0.961364
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv4_2,0.954993
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv4_3,0.936021
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv4_4,0.974795
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv5_1,0.887347
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv5_2,0.902916
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv5_3,0.895729
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,gram,conv5_4,0.954821
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv1_1,0.353513
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv1_2,0.166130
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv2_1,0.388358
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv2_2,0.294980
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv3_1,0.445621
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv3_2,0.414149
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv3_3,0.392387
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv3_4,0.523378
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv4_1,0.605236
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv4_2,0.624378
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv4_3,0.618586
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv4_4,0.735711
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv5_1,0.637314
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv5_2,0.706018
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv5_3,0.709763
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,conv,conv5_4,0.825284
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,fc,fc1,0.682633
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,fc,fc2,0.703046
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_saturation,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_saturation,fc,fc3,0.403795
