Image1,Image2,Method,Layer,Similarity
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv1_1,0.988595
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv1_2,0.992698
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv2_1,0.991975
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv2_2,0.991529
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv3_1,0.982907
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv3_2,0.975224
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv3_3,0.969406
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv3_4,0.985948
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv4_1,0.977690
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv4_2,0.974794
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv4_3,0.969951
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv4_4,0.986757
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv5_1,0.945488
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv5_2,0.958505
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv5_3,0.961870
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,gram,conv5_4,0.983261
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv1_1,0.417823
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv1_2,0.182746
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv2_1,0.400511
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv2_2,0.294874
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv3_1,0.456157
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv3_2,0.423597
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv3_3,0.382949
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv3_4,0.498446
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv4_1,0.628279
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv4_2,0.647104
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv4_3,0.658262
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv4_4,0.760482
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv5_1,0.735041
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv5_2,0.800442
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv5_3,0.824426
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,conv,conv5_4,0.897870
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,fc,fc1,0.780778
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,fc,fc2,0.813849
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_value,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_value,fc,fc3,0.603974
