Image1,Image2,Method,Layer,Similarity
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv1_1,0.333679
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv1_2,0.205843
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv2_1,0.643859
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv2_2,0.681902
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv3_1,0.495843
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv3_2,0.448083
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv3_3,0.484332
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv3_4,0.746611
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv4_1,0.568047
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv4_2,0.553735
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv4_3,0.608723
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv4_4,0.812717
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv5_1,0.387905
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv5_2,0.491879
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv5_3,0.542449
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,gram,conv5_4,0.759070
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv1_1,0.118374
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv1_2,0.005332
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv2_1,0.220085
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv2_2,0.198225
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv3_1,0.245031
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv3_2,0.223256
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv3_3,0.230989
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv3_4,0.433559
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv4_1,0.409306
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv4_2,0.425881
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv4_3,0.446947
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv4_4,0.616671
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv5_1,0.373409
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv5_2,0.455017
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv5_3,0.478996
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,conv,conv5_4,0.670642
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,fc,fc1,0.204150
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,fc,fc2,0.130616
edward-wadsworth_male-figure-standing-1911_constrast,robert-julian-onderdonk_panoramic-landscape_constrast,fc,fc3,0.065928
