Image1,Image2,Method,Layer,Similarity
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv1_1,0.829768
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv1_2,0.974434
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv2_1,0.805756
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv2_2,0.833159
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv3_1,0.738803
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv3_2,0.589331
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv3_3,0.646631
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv3_4,0.851248
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv4_1,0.716263
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv4_2,0.676945
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv4_3,0.731787
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv4_4,0.879217
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv5_1,0.553227
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv5_2,0.553020
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv5_3,0.611474
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,gram,conv5_4,0.815762
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv1_1,0.377136
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv1_2,0.522901
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv2_1,0.460709
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv2_2,0.293260
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv3_1,0.364827
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv3_2,0.307103
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv3_3,0.347480
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv3_4,0.521307
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv4_1,0.482917
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv4_2,0.482758
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv4_3,0.528658
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv4_4,0.666800
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv5_1,0.470078
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv5_2,0.482604
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv5_3,0.528193
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,conv,conv5_4,0.692356
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,fc,fc1,0.300761
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,fc,fc2,0.234550
edward-wadsworth_male-figure-standing-1911_heatmap,robert-julian-onderdonk_panoramic-landscape_heatmap,fc,fc3,0.152206
