Image1,Image2,Method,Layer,Similarity
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv1_1,0.065696
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv1_2,0.238646
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv2_1,0.517350
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv2_2,0.758204
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv3_1,0.551344
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv3_2,0.494083
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv3_3,0.483423
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv3_4,0.839569
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv4_1,0.659925
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv4_2,0.722528
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv4_3,0.716781
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv4_4,0.857596
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv5_1,0.599313
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv5_2,0.612539
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv5_3,0.659681
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,gram,conv5_4,0.848147
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv1_1,0.123792
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv1_2,0.125556
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv2_1,0.114974
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv2_2,0.217293
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv3_1,0.220507
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv3_2,0.200803
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv3_3,0.220343
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv3_4,0.486332
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv4_1,0.375123
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv4_2,0.433597
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv4_3,0.471396
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv4_4,0.656950
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv5_1,0.434139
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv5_2,0.510469
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv5_3,0.537873
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,conv,conv5_4,0.740533
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,fc,fc1,0.359312
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,fc,fc2,0.240719
edward-wadsworth_male-figure-standing-1911_hsv_hue,robert-julian-onderdonk_panoramic-landscape_hsv_hue,fc,fc3,0.122215
