Image1,Image2,Method,Layer,Similarity
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv1_1,0.845502
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv1_2,0.907824
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv2_1,0.907168
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv2_2,0.908081
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv3_1,0.825725
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv3_2,0.714984
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv3_3,0.697016
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv3_4,0.887083
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv4_1,0.703956
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv4_2,0.715374
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv4_3,0.769043
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv4_4,0.899497
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv5_1,0.529326
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv5_2,0.619599
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv5_3,0.624238
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,gram,conv5_4,0.822965
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv1_1,0.440181
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv1_2,0.206478
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv2_1,0.318611
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv2_2,0.279371
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv3_1,0.389176
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv3_2,0.323492
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv3_3,0.295266
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv3_4,0.500102
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv4_1,0.437007
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv4_2,0.467417
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv4_3,0.495730
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv4_4,0.662340
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv5_1,0.410110
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv5_2,0.499227
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv5_3,0.497839
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,conv,conv5_4,0.701481
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,fc,fc1,0.295699
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,fc,fc2,0.190737
edward-wadsworth_male-figure-standing-1911_hsv_saturation,robert-julian-onderdonk_panoramic-landscape_hsv_saturation,fc,fc3,0.109274
