Image1,Image2,Method,Layer,Similarity
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv1_1,0.962128
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv1_2,0.816969
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv2_1,0.652652
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv2_2,0.815176
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv3_1,0.731321
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv3_2,0.648821
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv3_3,0.612056
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv3_4,0.863186
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv4_1,0.708130
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv4_2,0.739519
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv4_3,0.741764
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv4_4,0.894282
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv5_1,0.558999
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv5_2,0.634825
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv5_3,0.663543
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,gram,conv5_4,0.864856
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv1_1,0.628416
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv1_2,0.216732
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv2_1,0.249159
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv2_2,0.283825
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv3_1,0.356060
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv3_2,0.325094
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv3_3,0.314860
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv3_4,0.517988
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv4_1,0.494828
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv4_2,0.566715
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv4_3,0.558790
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv4_4,0.713087
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv5_1,0.487154
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv5_2,0.558876
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv5_3,0.585003
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,conv,conv5_4,0.759250
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,fc,fc1,0.416570
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,fc,fc2,0.378700
edward-wadsworth_male-figure-standing-1911_texture,robert-julian-onderdonk_panoramic-landscape_texture,fc,fc3,0.204555
